"Day","Hr","Temp","KWH"
2014-12-24,1,42.08,"Above_Normal"
2014-12-24,2,42.08,"Above_Normal"
2014-12-24,3,42.08,"Above_Normal"
2014-12-24,4,41,"Above_Normal"
2014-12-24,5,41,"Above_Normal"
2014-12-24,6,41,"Above_Normal"
2014-12-24,7,42.08,"Above_Normal"
2014-12-24,8,42.08,"Above_Normal"
2014-12-24,9,42.98,"Above_Normal"
2014-12-24,10,44.96,"Above_Normal"
2014-12-24,11,44.96,"Above_Normal"
2014-12-24,12,44.96,"Above_Normal"
2014-12-24,13,44.96,"Above_Normal"
2014-12-24,14,44.96,"Above_Normal"
2014-12-24,15,44.96,"Above_Normal"
2014-12-24,16,46.04,"Above_Normal"
2014-12-24,17,44.78,"Above_Normal"
2014-12-24,18,46.22,"Above_Normal"
2014-12-24,19,46.04,"Above_Normal"
2014-12-24,20,44.78,"Above_Normal"
2014-12-24,21,44.78,"Above_Normal"
2014-12-24,22,46.04,"Above_Normal"
2014-12-24,23,44.96,"Above_Normal"
2014-12-25,0,44.78,"Above_Normal"
2014-12-25,1,44.72,"Above_Normal"
2014-12-25,2,46.94,"Above_Normal"
2014-12-25,3,57.92,"Above_Normal"
2014-12-25,4,58.46,"Above_Normal"
2014-12-25,5,57.56,"Above_Normal"
2014-12-25,6,57.56,"Above_Normal"
2014-12-25,7,55.67,"Above_Normal"
2014-12-25,8,57.02,"Above_Normal"
2014-12-25,9,53.96,"Above_Normal"
2014-12-25,10,51.98,"Above_Normal"
2014-12-25,11,50,"Above_Normal"
2014-12-25,12,51.08,"Above_Normal"
2014-12-25,13,51.08,"Above_Normal"
2014-12-25,14,50,"Above_Normal"
2014-12-25,15,48.02,"Above_Normal"
2014-12-25,16,46.94,"Above_Normal"
2014-12-25,17,46.94,"Above_Normal"
2014-12-25,18,46.94,"Above_Normal"
2014-12-25,19,46.04,"Above_Normal"
2014-12-25,20,46.04,"Above_Normal"
2014-12-25,21,44.96,"Above_Normal"
2014-12-25,22,44.96,"Above_Normal"
2014-12-25,23,44.06,"Above_Normal"
2014-12-26,0,42.98,"Above_Normal"
2014-12-26,1,42.08,"Above_Normal"
2014-12-26,2,42.08,"Above_Normal"
2014-12-26,3,39.92,"Above_Normal"
2014-12-26,4,41,"Above_Normal"
2014-12-26,5,37.94,"Above_Normal"
2014-12-26,6,37.94,"Above_Normal"
2014-12-26,7,39.02,"Above_Normal"
2014-12-26,8,42.98,"Above_Normal"
2014-12-26,9,44.96,"Above_Normal"
2014-12-26,10,46.04,"Above_Normal"
2014-12-26,11,46.94,"Above_Normal"
2014-12-26,12,48.02,"Above_Normal"
2014-12-26,13,48.92,"Above_Normal"
2014-12-26,14,48.92,"Above_Normal"
2014-12-26,15,48.02,"Above_Normal"
2014-12-26,16,48.02,"Above_Normal"
2014-12-26,17,46.04,"Above_Normal"
